image_id,file,cat,kind,exp_score,blur_n,contrast,range,lum,glare,gap_gain,comp_per_w,stroke_n,ink,skew,box_h,box_w
001928,001928.jpg,1_유통기한만,crop,0.7888,1.063,38.4,141.0,215.9,0.0005,0.031,6.03,1.91,0.093,7.9,80,291
001934,001934.jpg,0_일반,crop,0.7907,0.337,73.0,186.0,132.8,0.0,0.03,7.92,2.74,0.277,0.0,65,206
001958,001958.jpg,3_상대표기,crop,0.8528,0.804,29.0,101.0,106.9,0.0,0.057,16.07,1.91,0.213,0.0,65,228
001963,001963.jpg,2_다중날짜,crop,0.7988,0.671,61.2,187.0,191.1,0.0,0.082,10.18,1.91,0.19,0.0,74,262
001967,001967.jpg,3_상대표기,crop,0.6953,0.493,53.3,171.0,199.4,0.0,0.043,8.87,2.74,0.168,0.0,92,293
001986,001986.jpg,0_일반,crop,0.6037,0.329,43.3,144.0,152.0,0.0083,0.061,36.2,1.91,0.181,0.0,80,349
001995,001995.jpg,0_일반,crop,0.5158,0.978,40.6,152.0,150.8,0.0,0.118,56.82,1.91,0.222,0.0,100,275
002002,002002.jpg,0_일반,crop,0.7167,0.037,66.2,154.0,100.3,0.0,0.028,10.17,2.74,0.152,14.7,48,133
002039,002039.jpg,0_일반,crop,0.6972,0.807,47.1,154.0,168.1,0.0,0.038,17.3,1.91,0.189,0.0,62,180
002049,002049.jpg,3_상대표기,crop,0.6811,0.574,26.8,84.0,163.7,0.0,0.042,8.04,1.91,0.104,0.0,63,221
002052,002052.jpg,0_일반,full,0.2005,0.445,63.0,205.0,173.0,0.1555,0.089,39.06,1.91,0.339,0.0,640,640
002067,002067.jpg,0_일반,crop,0.5275,0.376,28.5,97.0,140.4,0.0,0.034,19.15,1.91,0.142,0.0,48,247
002078,002078.jpg,0_일반,crop,0.6464,0.132,43.0,136.0,171.0,0.0,0.011,9.25,2.74,0.162,0.0,58,206
002092,002092.jpg,0_일반,crop,0.6894,0.162,31.5,114.0,171.2,0.0,0.011,21.3,1.91,0.15,0.0,52,176
002108,002108.jpg,5b_판독불가_EXP각인추정,full,0.2226,0.927,52.6,169.0,165.5,0.0,0.132,70.31,1.91,0.332,0.0,640,640
002109,002109.jpg,5_판독불가_진짜,crop,0.6475,1.373,22.8,66.0,138.1,0.0,0.132,24.62,1.91,0.08,3.7,78,322
002132,002132.jpg,0_일반,crop,0.5586,0.859,21.3,66.0,208.5,0.0,0.07,25.81,1.91,0.086,0.0,73,284
002134,002134.jpg,5_판독불가_진짜,crop,0.64,2.029,25.4,77.0,163.9,0.0,0.106,24.91,1.91,0.091,0.0,75,316
002138,002138.jpg,0_일반,crop,0.5196,0.525,53.0,166.0,128.8,0.0,0.12,81.08,1.91,0.274,0.0,92,266
002147,002147.jpg,5_판독불가_진짜,crop,0.7051,0.337,48.0,151.0,190.7,0.0,0.036,14.29,1.91,0.187,0.0,49,140
002154,002154.jpg,5_판독불가_진짜,crop,0.6164,2.987,26.1,59.0,183.8,0.0,0.09,17.3,1.91,0.068,0.0,80,232
002187,002187.jpg,0_일반,crop,0.4745,0.249,40.0,125.0,232.1,0.576,0.01,8.33,1.91,0.167,0.0,54,223
002194,002194.jpg,0_일반,crop,0.5018,0.381,25.0,85.0,121.0,0.0,0.11,10.94,1.91,0.137,9.1,75,150
002217,002217.jpg,0_일반,crop,0.478,0.374,47.7,159.0,167.8,0.0,0.024,15.49,1.91,0.15,-4.2,73,258
002219,002219.jpg,0_일반,crop,0.7445,1.169,34.9,114.0,132.8,0.0,0.052,6.86,1.91,0.141,0.0,146,466
002225,002225.jpg,5_판독불가_진짜,crop,0.5327,0.394,21.4,67.0,205.8,0.0,0.059,5.13,1.91,0.112,1.6,48,117
002237,002237.jpg,0_일반,crop,0.5957,0.32,20.2,60.0,163.7,0.0016,0.031,16.43,1.91,0.093,-4.5,57,185
002259,002259.jpg,0_일반,crop,0.7105,4.809,27.6,60.0,211.2,0.0,0.202,48.09,1.91,0.073,0.0,116,333
002263,002263.jpg,5_판독불가_진짜,crop,0.5589,0.25,45.5,145.0,97.0,0.0001,0.055,36.25,1.91,0.228,0.0,110,275
002282,002282.jpg,0_일반,crop,0.5968,0.101,36.2,113.0,205.3,0.0005,0.024,11.56,1.91,0.155,0.0,62,143
002286,002286.jpg,0_일반,crop,0.6103,0.43,29.8,104.0,93.6,0.0,0.105,34.0,1.91,0.222,0.0,101,238
002331,002331.jpg,0_일반,crop,0.6046,1.078,27.4,81.0,191.2,0.0,0.097,45.18,1.91,0.098,0.0,74,193
002341,002341.jpg,1_유통기한만,crop,0.6947,0.335,52.9,166.0,132.9,0.0,0.033,12.99,2.74,0.212,0.0,80,318
002360,002360.jpg,0_일반,crop,0.5361,0.165,28.2,96.0,151.8,0.0,0.01,9.43,1.91,0.153,0.8,67,222
002367,002367.jpg,0_일반,crop,0.3,0.102,22.9,72.0,148.0,0.0,0.031,9.55,1.91,0.149,0.0,52,290
002368,002368.jpg,5_판독불가_진짜,crop,0.5572,1.869,19.6,43.0,151.0,0.0,0.133,25.1,1.91,0.069,5.1,82,332
002381,002381.jpg,4_참조표기,crop,0.6883,0.176,48.1,168.0,193.0,0.0,0.028,9.39,2.74,0.19,1.1,85,326
002388,002388.jpg,5_판독불가_진짜,crop,0.4234,0.917,24.4,76.0,151.3,0.0,0.151,11.76,1.91,0.137,-0.7,89,142
002405,002405.jpg,1_유통기한만,crop,0.6716,1.475,53.3,197.0,214.1,0.0008,0.059,12.11,1.91,0.124,0.0,111,331
002414,002414.jpg,0_일반,crop,0.6751,0.718,35.7,131.0,143.7,0.0,0.029,22.22,1.91,0.159,0.0,125,387
002426,002426.jpg,5_판독불가_진짜,crop,0.5039,1.087,47.1,161.0,59.6,0.0,0.051,15.28,1.91,0.142,6.9,97,219
002434,002434.jpg,4_참조표기,crop,0.6213,0.581,52.6,165.0,146.3,0.0,0.012,6.7,2.74,0.151,-1.2,130,426
002435,002435.jpg,0_일반,crop,0.7197,0.968,32.5,100.0,205.7,0.0,0.061,31.74,1.91,0.105,-2.0,65,298
002439,002439.jpg,3_상대표기,crop,0.6027,0.42,55.3,185.0,133.3,0.0,0.047,46.13,1.91,0.259,0.0,81,344
002449,002449.jpg,0_일반,crop,0.289,0.879,37.7,135.0,179.9,0.0001,0.079,21.55,1.91,0.159,0.0,65,288
002465,002465.jpg,0_일반,crop,0.7101,0.856,45.8,146.0,174.4,0.0,0.067,19.29,1.91,0.153,0.0,107,331
002466,002466.jpg,0_일반,crop,0.6812,0.101,46.4,147.0,190.3,0.0,0.064,6.37,2.74,0.165,0.0,47,185
002486,002486.jpg,0_일반,crop,0.6243,0.688,25.6,78.0,184.6,0.0,0.02,9.7,1.91,0.09,0.0,65,168
002546,002546.jpg,5_판독불가_진짜,crop,0.5785,1.233,50.1,160.0,132.5,0.0,0.119,105.3,1.91,0.23,0.0,89,210
002556,002556.jpg,5b_판독불가_EXP각인추정,crop,0.6253,0.937,31.9,125.0,140.6,0.0,0.056,29.9,1.91,0.131,0.0,71,227
002557,002557.jpg,5b_판독불가_EXP각인추정,crop,0.7089,0.245,22.7,80.0,183.8,0.0,0.032,8.96,1.91,0.1,0.0,42,132
002574,002574.jpg,5_판독불가_진짜,crop,0.7516,1.664,32.5,122.0,165.4,0.0,0.18,92.42,1.91,0.247,0.0,93,288
002612,002612.jpg,0_일반,crop,0.7113,0.255,51.5,156.0,161.8,0.0,0.034,17.51,1.91,0.244,0.0,46,156
002613,002613.jpg,0_일반,crop,0.3037,0.932,49.4,190.0,212.4,0.0017,0.041,18.39,1.91,0.124,0.0,82,286
002617,002617.jpg,1_유통기한만,crop,0.6152,0.679,48.7,168.0,191.3,0.0,0.01,5.51,1.91,0.128,0.0,89,354
002639,002639.jpg,0_일반,crop,0.6116,1.067,16.3,44.0,87.2,0.0,0.058,5.21,1.91,0.115,1.3,97,291
002641,002641.jpg,5_판독불가_진짜,crop,0.7044,0.753,28.8,102.0,148.4,0.0,0.163,43.38,1.91,0.151,0.0,92,316
002645,002645.jpg,0_일반,crop,0.484,2.257,18.8,31.0,184.6,0.0,0.129,15.79,1.91,0.041,0.3,67,279
002656,002656.jpg,0_일반,crop,0.5802,0.113,37.9,140.0,103.6,0.0,0.015,6.96,2.74,0.222,-4.7,66,119
002658,002658.jpg,0_일반,crop,0.6758,0.18,42.0,137.1,213.5,0.008,0.011,14.21,1.91,0.154,0.0,49,151
002661,002661.jpg,2_다중날짜,crop,0.7548,0.371,47.6,171.0,176.0,0.0,0.025,5.6,2.74,0.12,0.0,48,201
002681,002681.jpg,0_일반,full,0.2481,0.813,55.0,162.0,137.0,0.0004,0.245,62.5,1.91,0.325,0.0,900,675
002691,002691.jpg,1_유통기한만,crop,0.7116,0.592,50.4,188.0,189.9,0.0,0.015,13.64,1.91,0.107,0.0,72,248
002701,002701.jpg,5_판독불가_진짜,crop,0.5018,0.48,10.9,29.0,56.4,0.0,0.078,17.39,1.91,0.035,1.4,78,309
002713,002713.jpg,5b_판독불가_EXP각인추정,crop,0.5891,0.659,13.8,48.0,81.4,0.0,0.051,11.11,1.91,0.105,0.0,80,248
002730,002730.jpg,0_일반,crop,0.6714,1.44,17.9,32.0,54.2,0.0,0.14,17.48,1.91,0.039,-0.9,84,324
002732,002732.jpg,5_판독불가_진짜,crop,0.5743,2.574,45.3,149.0,159.4,0.0001,0.425,172.11,1.91,0.284,0.0,142,423
002736,002736.jpg,5_판독불가_진짜,crop,0.5235,0.507,50.3,171.0,192.5,0.0,0.019,4.63,2.74,0.113,0.0,52,176
002737,002737.jpg,3_상대표기,full,0.0917,2.373,55.9,175.0,148.0,0.0,0.229,72.92,1.91,0.339,0.0,900,675
002747,002747.jpg,0_일반,crop,0.5741,0.378,25.8,89.0,182.8,0.0,0.017,10.83,1.91,0.141,0.0,52,195
002762,002762.jpg,0_일반,crop,0.3742,0.393,55.1,163.0,151.1,0.0,0.04,18.35,2.74,0.259,0.0,31,106
002887,002887.jpg,0_일반,crop,0.7808,0.233,44.8,142.0,115.3,0.0,0.048,17.5,1.91,0.258,0.0,49,123
002895,002895.jpg,5_판독불가_진짜,crop,0.7363,0.308,53.7,160.0,171.4,0.0,0.046,17.01,1.91,0.243,0.0,55,167
002917,002917.jpg,5b_판독불가_EXP각인추정,crop,0.6907,2.233,47.7,167.0,216.9,0.0029,0.094,27.87,1.91,0.105,0.0,64,244
002967,002967.jpg,0_일반,crop,0.3099,0.279,27.1,90.0,142.6,0.0,0.016,4.45,2.74,0.12,6.1,40,239
002968,002968.jpg,0_일반,crop,0.6866,0.592,57.1,174.0,183.3,0.0012,0.043,17.68,1.91,0.266,0.0,81,230
002996,002996.jpg,0_일반,crop,0.7848,2.169,31.5,85.0,198.7,0.0001,0.125,20.99,1.91,0.084,0.0,73,299
003007,003007.jpg,0_일반,crop,0.7451,0.583,43.8,170.0,205.9,0.0,0.02,5.45,1.91,0.075,0.6,82,282
003016,003016.jpg,0_일반,crop,0.5425,0.097,28.2,99.0,112.1,0.0007,0.029,9.09,1.91,0.168,-1.9,49,219
003021,003021.jpg,3_상대표기,crop,0.5466,0.456,33.4,103.0,243.0,0.8304,0.028,6.72,1.91,0.098,0.0,52,218
003039,003039.jpg,1_유통기한만,crop,0.5541,0.808,47.5,170.0,148.1,0.0004,0.039,23.3,1.91,0.194,0.7,59,163
003063,003063.jpg,5b_판독불가_EXP각인추정,full,0.1669,0.631,50.4,162.0,128.9,0.0,0.131,35.8,1.91,0.344,0.0,703,900
003081,003081.jpg,5_판독불가_진짜,crop,0.746,0.559,45.0,160.0,135.9,0.0001,0.054,19.63,1.91,0.176,0.0,80,274
003084,003084.jpg,0_일반,crop,0.666,0.22,33.0,116.0,117.0,0.0,0.022,16.17,1.91,0.13,0.0,68,178
003096,003096.jpg,0_일반,crop,0.7129,0.2,33.9,125.0,167.4,0.0,0.03,39.18,1.91,0.2,0.0,40,168
003097,003097.jpg,5_판독불가_진짜,crop,0.6648,0.313,52.2,171.0,161.1,0.0,0.016,10.71,2.74,0.173,0.0,74,260
003102,003102.jpg,5_판독불가_진짜,crop,0.5525,1.213,28.2,90.0,201.3,0.0,0.037,7.11,1.91,0.084,-3.0,63,250
003105,003105.jpg,0_일반,crop,0.6821,0.175,65.4,176.0,80.3,0.0,0.077,31.21,1.91,0.25,0.0,80,177
003177,003177.jpg,0_일반,crop,0.771,0.67,50.9,179.0,170.2,0.0,0.044,13.57,1.91,0.167,0.0,82,256
003189,003189.jpg,0_일반,crop,0.386,0.275,38.2,127.0,185.0,0.0,0.016,6.02,2.74,0.14,0.0,56,189
003209,003209.jpg,5b_판독불가_EXP각인추정,crop,0.513,1.153,33.5,114.0,159.9,0.0007,0.096,11.64,1.91,0.101,0.0,75,323
003218,003218.jpg,3_상대표기,crop,0.6684,0.643,36.2,140.0,126.8,0.0,0.012,36.32,1.91,0.124,0.0,108,358
003227,003227.jpg,0_일반,crop,0.6288,0.09,72.3,191.0,186.2,0.2089,0.016,8.94,2.74,0.279,0.0,48,227
003255,003255.jpg,0_일반,crop,0.6101,0.215,14.2,46.0,34.5,0.0,0.032,25.12,1.91,0.085,1.3,49,159
003269,003269.jpg,0_일반,crop,0.7044,1.171,28.0,86.0,213.1,0.0006,0.07,46.15,1.91,0.123,0.0,88,394
003282,003282.jpg,0_일반,crop,0.6328,1.74,24.6,82.0,176.6,0.0126,0.131,36.42,1.91,0.131,0.0,182,494
003293,003293.jpg,0_일반,crop,0.5904,0.155,20.9,64.0,211.2,0.0,0.027,9.38,1.91,0.164,10.5,45,135
003320,003320.jpg,5_판독불가_진짜,crop,0.8038,0.297,51.7,148.0,144.2,0.0,0.05,21.99,1.91,0.356,0.0,46,102
003332,003332.jpg,0_일반,crop,0.2826,2.327,37.2,128.0,174.2,0.0,0.113,52.84,1.91,0.138,-4.6,109,301
003348,3348.jpeg,3_상대표기,full,0.202,0.872,63.2,201.0,122.9,0.0025,0.209,52.08,1.91,0.368,0.0,900,675
